cluster,label,n_member_names,n_reps,reps,cov_Hybrid-Manual,cov_Hybrid-Full,cov_GPT-Law,cov_GPT-Free,members
164,ביצוע_בצוותא,3,2,GPT-Law|GPT-Free,0,0,2,2,ביצוע_בצוותא ; ביצוע_בצוותא_אישום1 ; ביצוע_בצוותא_באישום_1
1410,גיל_הנאשם,1,2,GPT-Law|GPT-Free,0,0,3,1,גיל_הנאשם
220,האם_החזיק_סמים_לצריכה_עצמית,5,2,GPT-Law|GPT-Free,0,0,3,1,החזיק_סמים_לצריכה_עצמית ; החזיקה_סמים_לצריכה_עצמית ; החזקה_של_סמים_שאינם_לצריכה_עצמית ; החזקת_סמים_לצריכה_עצמית ; החזקת_סמים_שלא_לצריכה_עצמית
808,היקף_הפעילות,2,2,GPT-Law|GPT-Free,0,0,1,3,היקף_הפעילות ; היקף_פעילות
1312,האם_הנאשם_הודה,1,2,GPT-Law|GPT-Free,0,0,3,1,הנאשם_הודה
830,האם_הסם_נתפס,1,2,GPT-Law|GPT-Free,0,0,2,2,הסם_נתפס
130,יעד הטיסה,3,2,Hybrid-Manual|Hybrid-Full,3,1,0,0,יעד_הטיסה ; יעד_הטיסה_הסופי ; יעדי_טיסה
60,כמות סמים נוספת,3,2,Hybrid-Manual|Hybrid-Full,3,1,0,0,כמות_סמים_נוספת ; כמות_נוספת_של_סמים ; כמות_נוספת_של_סמים_בדלת_הנהג
949,מדינת_המקור,2,2,Hybrid-Manual|GPT-Free,1,0,0,3,מדינת_המקור ; מדינת_מקור
150,מספר_שותפים,2,2,GPT-Law|GPT-Free,0,0,3,1,מספר_שותפים ; מספר_משתתפים
474,משך_הפעילות,2,2,Hybrid-Manual|GPT-Law,2,0,2,0,משך_הפעילות ; משך_זמן_הפעילות
626,סוג סם נוסף,2,2,GPT-Law|GPT-Free,0,0,2,2,סוג_סם_נוסף ; סוג_הסם_הנוסף
88,פרטי הכלים לגידול,3,2,Hybrid-Manual|Hybrid-Full,2,2,0,0,פרטי_הכלים_לגידול ; פרטי_גידול ; פרטי_התשתית_לגידול
35,קשר_עם_אחרים,3,2,GPT-Law|GPT-Free,0,0,1,3,קשר_עם_אחרים ; קשר_עם_אחר ; קשר_עם_אחרים_לגבי_הסם
687,שווי_החשמל_שניטל,2,2,GPT-Law|GPT-Free,0,0,2,2,שווי_החשמל_שניטל ; שווי_החשמל_שניטל_בשח
621,שיטת מכירה,2,2,Hybrid-Manual|Hybrid-Full,2,2,0,0,שיטת_מכירה ; שיטת_המכירה
618,שיטת השילוח,1,2,Hybrid-Manual|Hybrid-Full,3,1,0,0,שיטת_השילוח
450,שימוש_במספר_מעקב,3,2,GPT-Law|GPT-Free,0,0,2,2,שימוש_במספר_מעקב ; שימוש_במספר_חסום ; שימוש_במספרי_סים_רבים
552,שעת_ביצוע,2,2,GPT-Law|GPT-Free,0,0,2,2,שעת_ביצוע ; שעות_ביצוע
597,תאריך התחלת שכירות,2,2,Hybrid-Manual|Hybrid-Full,2,2,0,0,תאריך_התחלת_שכירות ; תאריך_התחלת_שכירות_המחסן
18,תמורה_לנאשם_לעסקה,3,2,GPT-Law|GPT-Free,0,0,1,3,תמורה_לנאשם_לעסקה ; תמורה_בכל_עסקה ; תמורה_בעסקאות
105,אופן_המסירה,2,2,GPT-Law|GPT-Free,0,0,1,2,אופן_המסירה ; אופי_המסירה
403,אופי העסקה,2,2,GPT-Law|GPT-Free,0,0,1,2,אופי_העסקה ; אופי_העסקאות
1196,אופן_היבוא,1,2,GPT-Law|GPT-Free,0,0,2,1,אופן_היבוא
1418,אופן_קבלת_הסם,1,2,GPT-Law|GPT-Free,0,0,1,2,אופן_קבלת_הסם
115,אישום_1_תאריך,7,2,GPT-Law|GPT-Free,0,0,1,2,אישום_1_תאריך ; אישום_2_תאריך ; אישום_ראשון_תאריך ; אישום_שביעי_תאריך ; אישום_שלושים_ואחד_תאריך ; אישום_שלישי_תאריך ; אישום_שני_תאריך
879,אמצעי_הובלה,1,2,GPT-Law|GPT-Free,0,0,1,2,אמצעי_הובלה
165,אמצעי_תקשורת_לביצוע_העסקה,3,2,Hybrid-Manual|GPT-Free,2,0,0,1,אמצעי_תקשורת_לביצוע_העסקה ; אמצעי_תקשורת_לעסקה ; אמצעי_תקשורת_לתיאום_העסקה
1187,ארץ_יעד,1,2,GPT-Law|GPT-Free,0,0,2,1,ארץ_יעד
170,שימוש_בזהות_בדויה,2,2,GPT-Law|GPT-Free,0,0,1,2,שימוש_בזהות_בדויה ; בוצע_שימוש_בזהות_בדויה
561,האם_היה_שימוש_במסמכים_מזויפים,3,2,GPT-Law|GPT-Free,0,0,1,2,היה_שימוש_במסמכים_מזויפים ; שימוש_במסמכים_מזהים ; שימוש_במסמכים_מזויפים
136,האם_הנאשם_יזם_את_העבירה,2,2,GPT-Law|GPT-Free,0,0,2,1,הנאשם_יזם_את_העבירה ; הנאשם_יזם_את_המכירה
109,האם הנאשם פעל למטרות רווח,3,2,GPT-Law|GPT-Free,0,0,2,1,הנאשם_פעל_למטרות_רווח ; הנאשם_פעל_למען_רווח_כלכלי ; הנאשם_פעל_לשם_רווח_כלכלי
442,שימוש_בקטין,2,2,Hybrid-Manual|GPT-Law,1,0,2,0,שימוש_בקטין ; השימוש_בקטין
57,כמות_LSD_בולים,4,2,GPT-Law|GPT-Free,0,0,2,1,כמות_LSD_בולים ; כמות_LSD_יחידות ; כמות_LSD_נוזל ; כמות_LSD_נוזל_מיליליטר
74,כמות אריזות חשיש שלא לצריכה עצמית,5,2,GPT-Law|GPT-Free,0,0,2,1,כמות_אריזות_חשיש_שלא_לצריכה_עצמית ; כמות_גרם_לצריכה_עצמית ; כמות_חשיש_גרם_לצריכה_עצמית ; כמות_חשיש_גרם_שאינו_לצריכה_עצמית ; כמות_קג_שלא_לצריכה_עצמית
141,כמות_הסם_בקילוגרמים,2,2,Hybrid-Manual|GPT-Free,1,0,0,2,כמות_הסם_בקילוגרמים ; כמות_חשיש_בקילוגרמים
1,מיקום ביצוע העסקאות,3,2,Hybrid-Full|GPT-Free,0,1,0,2,מיקום_ביצוע_העסקאות ; מקום_ביצוע_העסקה ; מקומות_ביצוע_העסקאות
153,מניע_לביצוע,2,2,GPT-Law|GPT-Free,0,0,2,1,מניע_לביצוע ; מניע_לביצוע_העבירה
208,מספר_חדרים_שהוסבו,2,2,GPT-Law|GPT-Free,0,0,2,1,מספר_חדרים_שהוסבו ; מספר_חדרים
265,מקום יציאה,2,2,Hybrid-Manual|Hybrid-Full,1,2,0,0,מקום_יציאה ; מקום_היציאה
291,מקום קבלת הסמים,2,2,Hybrid-Manual|Hybrid-Full,2,1,0,0,מקום_קבלת_הסמים ; מקום_המפגש_לקבלת_הסמים
537,מקום מגורים,1,2,Hybrid-Manual|Hybrid-Full,1,2,0,0,מקום_מגורים
188,מקום מסירת הסם,2,2,Hybrid-Full|GPT-Free,0,2,0,1,מקום_מסירת_הסם ; מקום_מסירת_הסמים
1473,משקל נטו של הסם,1,2,Hybrid-Manual|Hybrid-Full,2,1,0,0,משקל_נטו_של_הסם
441,סוג_הסם_העיקרי,2,2,GPT-Law|GPT-Free,0,0,2,1,סוג_הסם_העיקרי ; סוג_הסם_העיקרי_שגודל
331,סכום כולל ששולם,2,2,Hybrid-Manual|Hybrid-Full,2,1,0,0,סכום_כולל_ששולם ; סכום_כולל_ששולם_לנאשם_1
121,סכום כספי מעורב,2,2,Hybrid-Manual|Hybrid-Full,1,2,0,0,סכום_כספי_מעורב ; סכומי_כסף_מעורבים
586,סכומי כסף,2,2,Hybrid-Manual|GPT-Free,2,0,0,1,סכומי_כסף ; סכומי_כסף_בעסקאות
699,קשר_מוקדם_בין_הנאשם_לרוכש,2,2,GPT-Law|GPT-Free,0,0,1,2,קשר_מוקדם_בין_הנאשם_לרוכש ; קשר_בין_הנאשם_לרוכש
603,שיטת הייבוא,3,2,GPT-Law|GPT-Free,0,0,2,1,שיטת_הייבוא ; שיטת_יבוא ; שיטת_ייבוא
992,שיטת הסוואה,1,2,Hybrid-Manual|GPT-Free,2,0,0,1,שיטת_הסוואה
110,שימוש_בציוד,3,2,GPT-Law|GPT-Free,0,0,2,1,שימוש_בציוד ; שימוש_בציוד_ייעודי ; שימוש_בציוד_מתקדם
269,תאריך המעצר,2,2,Hybrid-Manual|Hybrid-Full,2,1,0,0,תאריך_המעצר ; תאריך_מעצר
529,תמורה_עסקה_ראשונה_שקלים,2,2,GPT-Law|GPT-Free,0,0,2,1,תמורה_עסקה_ראשונה_שקלים ; תמורה_בהזדמנות_ראשונה_שקלים
144,תמורה_כספית_לנאשם,4,2,GPT-Law|GPT-Free,0,0,1,2,תמורה_כספית_לנאשם ; תמורה_כספית_מובטחת_לנאשם ; תמורה_כספית_צפויה_לנאשם ; תמורה_כספית_צפויה_לנאשם_1
888,אופי_הפעילות,1,2,GPT-Law|GPT-Free,0,0,1,1,אופי_הפעילות
242,אופי_התקשורת,2,2,Hybrid-Manual|GPT-Law,1,0,1,0,אופי_התקשורת ; אופן_התקשורת
1107,אופן ההסתרה,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,אופן_ההסתרה
950,אופן_הייבוא,1,2,GPT-Law|GPT-Free,0,0,1,1,אופן_הייבוא
335,איומים כלפי שוטר,3,2,Hybrid-Manual|GPT-Free,1,0,0,1,איומים_כלפי_שוטר ; איומים_כלפי_שוטרת ; איומים_על_שוטרים
1035,אמצעי_הגעה,1,2,GPT-Law|GPT-Free,0,0,1,1,אמצעי_הגעה
1288,אמצעי_תקשורת_בין_המעורבים,1,2,GPT-Law|GPT-Free,0,0,1,1,אמצעי_תקשורת_בין_המעורבים
89,האם_בוצע_באמצעות_אדם_נוסף,2,2,GPT-Law|GPT-Free,0,0,1,1,בוצע_באמצעות_אדם_נוסף ; בוצע_באמצעות_אחר
98,האם_בוצע_לצריכה_עצמית,2,2,GPT-Law|GPT-Free,0,0,1,1,בוצע_לצריכה_עצמית ; בוצעה_החזקה_שלא_לצריכה_עצמית
328,האם בוצע שימוש בשליח,2,2,GPT-Law|GPT-Free,0,0,1,1,בוצע_שימוש_בשליח ; בוצע_שימוש_בשליח_אחר
253,האם בוצעה עסקה בפועל,2,2,GPT-Law|GPT-Free,0,0,1,1,בוצעה_עסקה_בפועל ; בוצעה_עסקת_נשק_בפועל
1239,האם_הודאה,1,2,GPT-Law|GPT-Free,0,0,1,1,הודאה
967,הודאה באישומים,1,2,Hybrid-Manual|GPT-Law,1,0,1,0,הודאה_באישומים
238,הוראות משי,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,הוראות_משי ; הוראות_שהתקבלו_משי
90,החזקה_בדירה,2,2,Hybrid-Manual|GPT-Free,1,0,0,1,החזקה_בדירה ; מקומות_החזקה_בדירה
851,החזקה_עבור_אחר,1,2,GPT-Law|GPT-Free,0,0,1,1,החזקה_עבור_אחר
24,האם_היה_שימוש_בכתובת_שאינה_מאוישת,3,2,GPT-Law|GPT-Free,0,0,1,1,היה_שימוש_בכתובת_שאינה_מאוישת ; שימוש_בכתובת_שאינה_מגורים ; שימוש_בכתובת_שאינה_של_הנאשם
64,האם_היו_מעורבים_נוספים,2,2,GPT-Law|GPT-Free,0,0,1,1,היו_מעורבים_נוספים ; היו_שותפים_נוספים
104,האם הייתה החזקה עצמית של סם,2,2,GPT-Law|GPT-Free,0,0,1,1,הייתה_החזקה_עצמית_של_סם ; הייתה_החזקה_שלא_לצריכה_עצמית
517,היכרות קודמת בין הסוכן לאדהם,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,היכרות_קודמת_בין_הסוכן_לאדהם
905,האם_הנאשם_נמלט_מהמשטרה,1,2,GPT-Law|GPT-Free,0,0,1,1,הנאשם_נמלט_מהמשטרה
1080,האם_הסם_לצריכה_עצמית,1,2,GPT-Law|GPT-Free,0,0,1,1,הסם_לצריכה_עצמית
222,הסתייעות_ברכב_לביצוע_העבירה,2,2,Hybrid-Full|GPT-Law,0,1,1,0,הסתייעות_ברכב_לביצוע_העבירה ; הסתייעות_ברכב_לביצוע_עבירה
43,הצעת מחיר לאקדח,3,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,הצעת_מחיר_לאקדח ; הצעת_מחיר_לאקדח_מהסוכן ; הצעת_מחיר_מופחתת_לאקדח
1140,הקמת_מעבדה,1,2,GPT-Law|GPT-Free,0,0,1,1,הקמת_מעבדה
1019,השפעות הסם,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,השפעות_הסם
496,השתתפות קטין,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,השתתפות_קטין
235,התנהגות במהלך מעצר,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,התנהגות_במהלך_מעצר ; התנהלות_במהלך_מעצר
466,התנהלות הנאשם בעת המעצר,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,התנהלות_הנאשם_בעת_המעצר ; התנהלות_הנאשם_לפני_המעצר
145,זהות_הקורבן,2,2,GPT-Law|GPT-Free,0,0,1,1,זהות_הקורבן ; זהות_הקורבנות
187,זהות מסייעים נוספים,2,2,GPT-Law|GPT-Free,0,0,1,1,זהות_מסייעים_נוספים ; זהות_מעורבים_נוספים
1081,זמן המעצר,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,זמן_המעצר
645,זמן העבירה הראשונה,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,זמן_העבירה_הראשונה
79,חיבור_חשמל_פיראטי,2,2,Hybrid-Full|GPT-Free,0,1,0,1,חיבור_חשמל_פיראטי ; פרטי_חיבור_חשמל_פיראטי
413,יוזם_העסקה_אישום_1,2,2,GPT-Law|GPT-Free,0,0,1,1,יוזם_העסקה_אישום_1 ; יוזם_העסקה_אישום_2
248,כלי רכב להגעה והובלת ציוד,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,כלי_רכב_להגעה_והובלת_ציוד ; כלי_רכב_להגעה_והעברת_ציוד
1132,כלי תחבורה,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,כלי_תחבורה
1325,כלים לאריזה וייצור,2,2,Hybrid-Manual|GPT-Free,1,0,0,1,כלים_לאריזה_וייצור ; כלים_לאריזה_ויצור
192,כלים להכנת סמים,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,כלים_להכנת_סמים ; כלים_לשימוש_בסמים
117,כמות_METHYLMETHCATHINON_אישום_שלישי,2,2,GPT-Law|GPT-Free,0,0,1,1,כמות_METHYLMETHCATHINON_אישום_שלישי ; כמות_METHYLMETHCATHINON_בהחזקה_עצמית_גרם
342,כמות_אבקה_גרם,2,2,GPT-Law|GPT-Free,0,0,1,1,כמות_אבקה_גרם ; כמות_הסם_אבקה_גרם
559,כמות בעסקה השנייה,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,כמות_בעסקה_השנייה ; כמות_קוקאין_בעסקה_השנייה
139,כמות הסם בניסיון ייבוא,2,2,GPT-Law|GPT-Free,0,0,1,1,כמות_הסם_בניסיון_ייבוא ; כמות_קטמין_ניסיון_ייבוא_גרם
211,כמות_הסם_טבליות,2,2,GPT-Law|GPT-Free,0,0,1,1,כמות_הסם_טבליות ; כמות_טבליות
267,כמות_הסם_שנמצאה_ברכב,2,2,GPT-Law|GPT-Free,0,0,1,1,כמות_הסם_שנמצאה_ברכב ; כמות_סמים_שנמצאה_ברכב
1052,כמות חשיש בפלטות,2,2,Hybrid-Manual|GPT-Law,1,0,1,0,כמות_חשיש_בפלטות ; כמות_חשיש_פלטות
184,כמות קוקאין בעסקה הראשונה,2,2,Hybrid-Manual|GPT-Law,1,0,1,0,כמות_קוקאין_בעסקה_הראשונה ; כמות_קוקאין_עסקה_ראשונה_גרם
161,כמות שתילים צעירים,2,2,Hybrid-Full|GPT-Free,0,1,0,1,כמות_שתילים_צעירים ; כמות_שתילים_בגירים
82,כסף מזומן בחזקת הנאשמת,2,2,Hybrid-Full|GPT-Free,0,1,0,1,כסף_מזומן_בחזקת_הנאשמת ; כסף_מזומן_שנתפס
1150,כתובת היעד,2,2,Hybrid-Manual|GPT-Free,1,0,0,1,כתובת_היעד ; כתובת_יעד
339,מחיר_לגרם_בהזדמנות_ראשונה,2,2,Hybrid-Manual|GPT-Free,1,0,0,1,מחיר_לגרם_בהזדמנות_ראשונה ; מחיר_לגרם_בעסקה_הראשונה
108,מחיר_לגרם_בהזדמנות_שנייה,2,2,Hybrid-Manual|GPT-Free,1,0,0,1,מחיר_לגרם_בהזדמנות_שנייה ; מחיר_לגרם_בעסקה_השנייה
708,מחיר לגרם קוקאין,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מחיר_לגרם_קוקאין ; מחיר_לקג_קוקאין
544,מחיר ליחידה,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מחיר_ליחידה
440,מטבע_התמורה,1,2,GPT-Law|GPT-Free,0,0,1,1,מטבע_התמורה
158,מיקום בתיק המצורף,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מיקום_בתיק_המצורף ; מיקום_הסכין_בתיק_המצורף
168,מיקום הסמים,2,2,Hybrid-Manual|GPT-Free,1,0,0,1,מיקום_הסמים ; מיקום_עסקת_סמים
1146,מספר_הזדמנויות,1,2,GPT-Law|GPT-Free,0,0,1,1,מספר_הזדמנויות
664,מספר_חדרים_בהם_גודל_הסם,1,2,GPT-Law|GPT-Free,0,0,1,1,מספר_חדרים_בהם_גודל_הסם
709,מספר חשבונות טלגרם,2,2,Hybrid-Full|GPT-Law,0,1,1,0,מספר_חשבונות_טלגרם ; מספר_חשבונות_טלגרם_לסחר
638,מספר_טלפונים_בשימוש,2,2,GPT-Law|GPT-Free,0,0,1,1,מספר_טלפונים_בשימוש ; מספרי_טלפון_בשימוש
1154,מספר יחידות במנבטות,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מספר_יחידות_במנבטות
128,"מספר ימי שהות בחו""ל",2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מספר_ימי_שהות_בחול ; מספר_ימים_בחול
443,מספר כרטיסי סים ברכב,1,2,Hybrid-Manual|GPT-Law,1,0,1,0,מספר_כרטיסי_סים_ברכב
751,מספר מאווררים,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מספר_מאווררים
1391,מספר מזגנים,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מספר_מזגנים
737,מספר נאשמים מעורבים,1,2,Hybrid-Manual|GPT-Law,1,0,1,0,מספר_נאשמים_מעורבים
570,מספר_נבטים,1,2,GPT-Law|GPT-Free,0,0,1,1,מספר_נבטים
353,מספר_פעמים_שבהן_בוצעה_העבירה,2,2,Hybrid-Manual|GPT-Free,1,0,0,1,מספר_פעמים_שבהן_בוצעה_העבירה ; מספר_פעמים_שבוצעה_העבירה
1137,מספר פעמים שהנאשמת פנתה לסניף הדואר,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מספר_פעמים_שהנאשמת_פנתה_לסניף_הדואר
511,מספר_שקיות_סם,2,2,GPT-Law|GPT-Free,0,0,1,1,מספר_שקיות_סם ; מספר_שקיות_סם_מוכן
92,מספר שתילים בגירים,2,2,Hybrid-Manual|GPT-Law,1,0,1,0,מספר_שתילים_בגירים ; מספר_שתילים_צעירים
167,מספר תיקים נוספים,2,2,Hybrid-Manual|GPT-Free,1,0,0,1,מספר_תיקים_נוספים ; מספר_תיקים_שצורפו
67,מעורבות_בן_זוג,2,2,Hybrid-Manual|GPT-Free,1,0,0,1,מעורבות_בן_זוג ; מעורבות_של_זוגת_הנאשם
1065,מעורבות קטין,1,2,Hybrid-Full|GPT-Free,0,1,0,1,מעורבות_קטין
458,מערכות חשמל ומים,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מערכות_חשמל_ומים
1192,מקום המכירה,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מקום_המכירה
563,מקום_המסירה_בישראל,2,2,GPT-Law|GPT-Free,0,0,1,1,מקום_המסירה_בישראל ; מקום_מסירת_הסם_בישראל
1438,מקור הטיסה,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מקור_הטיסה
1213,מקור תשלום השכירות,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מקור_תשלום_השכירות
1370,משך_הקשר_הפלילי,1,2,GPT-Law|GPT-Free,0,0,1,1,משך_הקשר_הפלילי
595,משקל הסמים,2,2,Hybrid-Full|GPT-Free,0,1,0,1,משקל_הסמים ; משקלי_סמים
924,משקל נטו של קוקאין,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,משקל_נטו_של_קוקאין
606,משקל סם נוסף,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,משקל_סם_נוסף ; משקל_סמים_נוסף
84,נוכחות_קטין,2,2,GPT-Law|GPT-Free,0,0,1,1,נוכחות_קטין ; נוכחות_קטין_בביצוע
1008,נסיבות_איומים,1,2,GPT-Law|GPT-Free,0,0,1,1,נסיבות_איומים
221,סוג_הרוכש,1,2,GPT-Law|GPT-Free,0,0,1,1,סוג_הרוכש
233,סוג כרטיס הטיסה,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,סוג_כרטיס_הטיסה ; סוג_כרטיס_טיסה
1176,סוגי ציוד לגידול,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,סוגי_ציוד_לגידול
351,סטטוס רישיון נהיגה,1,2,Hybrid-Manual|GPT-Free,1,0,0,1,סטטוס_רישיון_נהיגה
870,סך הכול עבירות,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,סך_הכול_עבירות ; סך_כל_עבירות
482,סך הכל גניבת חשמל,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,סך_הכל_גניבת_חשמל ; סך_הכל_חשמל_נגנב
358,סכום הכסף לכרטיס טיסה ומלון,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,סכום_הכסף_לכרטיס_טיסה_ומלון ; סכום_כספי_מועבר_לרכישת_כרטיס_טיסה
427,סכום הכסף לקניית הסמים,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,סכום_הכסף_לקניית_הסמים ; סכום_כספי_מכירת_הסמים
360,סכום כולל,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,סכום_כולל ; סכום_כולל_שהוסכם
389,סכום כולל לתשלום,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,סכום_כולל_לתשלום ; סכום_תשלום
1450,סכומי עסקאות,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,סכומי_עסקאות
185,סעיף עבירה נוסף,2,2,Hybrid-Full|GPT-Law,0,1,1,0,סעיף_עבירה_נוסף ; סעיף_עבירה_נוספת
1182,עבירות נהיגה,1,2,Hybrid-Manual|GPT-Free,1,0,0,1,עבירות_נהיגה
404,עלות שכירות הבית,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,עלות_שכירות_הבית
1025,פנקס טיפולים,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,פנקס_טיפולים
132,פעולות המשטרה,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,פעולות_המשטרה ; פעולת_המשטרה
324,פעולות_שבוצעו,2,2,GPT-Law|GPT-Free,0,0,1,1,פעולות_שבוצעו ; פעולות_שבוצעו_בסם
1018,פרטי המרדף,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,פרטי_המרדף
452,פרטי העסקה,2,2,Hybrid-Full|GPT-Free,0,1,0,1,פרטי_העסקה ; פרטי_עסקה_שניה
478,ציוד_לגידול_נתפס,2,2,GPT-Law|GPT-Free,0,0,1,1,ציוד_לגידול_נתפס ; ציוד_נתפס
372,קרוב משפחה מעורב,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,קרוב_משפחה_מעורב ; קרובי_משפחה_מעורבים
330,קשר_מוקדם_בין_נאשם_לסוכן,2,2,GPT-Law|GPT-Free,0,0,1,1,קשר_מוקדם_בין_נאשם_לסוכן ; קשר_קודם_בין_הנאשם_לסוכן
1306,קשר משפחתי,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,קשר_משפחתי
147,קשר_משפחתי_בין_המשתתפים,2,2,Hybrid-Manual|GPT-Law,1,0,1,0,קשר_משפחתי_בין_המשתתפים ; קשר_משפחתי_בין_הנאשם_למיכאל
229,שווי כולל של הסמים,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,שווי_כולל_של_הסמים
52,שותפים בבעלות על הדירה,2,2,Hybrid-Full|GPT-Free,0,1,0,1,שותפים_בבעלות_על_הדירה ; שותפים_לבעלות_בדירה
55,שיטות הפעלה,2,2,Hybrid-Manual|GPT-Free,1,0,0,1,שיטות_הפעלה ; שיטת_הפעלה
177,שיטת_גילוי_העבירה,2,2,GPT-Law|GPT-Free,0,0,1,1,שיטת_גילוי_העבירה ; שיטת_העבירה
550,שיטת_הפצה,1,2,GPT-Law|GPT-Free,0,0,1,1,שיטת_הפצה
535,שימוש_באמצעי_תקשורת_מאובטחת,1,2,GPT-Law|GPT-Free,0,0,1,1,שימוש_באמצעי_תקשורת_מאובטחת
386,שימוש בהודעות מתפוצצות,2,2,Hybrid-Manual|GPT-Free,1,0,0,1,שימוש_בהודעות_מתפוצצות ; שימוש_בהודעות_נמחקות
1483,שימוש בזהות זרה,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,שימוש_בזהות_זרה
241,שימוש בטכנולוגיה,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,שימוש_בטכנולוגיה ; שימוש_בטכנולוגיה_לסחר
731,שימוש_בכתובות_פיקטיביות,1,2,GPT-Law|GPT-Free,0,0,1,1,שימוש_בכתובות_פיקטיביות
106,שימוש בשם בדוי,2,2,Hybrid-Manual|GPT-Law,1,0,1,0,שימוש_בשם_בדוי ; שימוש_בכתובת_בדויה
1248,שימוש_בשמות_פיקטיביים,1,2,GPT-Law|GPT-Free,0,0,1,1,שימוש_בשמות_פיקטיביים
368,שכירות_הדירה,1,2,GPT-Law|GPT-Free,0,0,1,1,שכירות_הדירה
215,שכירות_מקום_לצורך_העבירה,1,2,GPT-Law|GPT-Free,0,0,1,1,שכירות_מקום_לצורך_העבירה
724,שמות הסוכנים הסמויים,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,שמות_הסוכנים_הסמויים
111,שמות_מעורבים,2,2,Hybrid-Manual|GPT-Free,1,0,0,1,שמות_מעורבים ; שמות_שוטרים_מעורבים
138,שנת פקיעת רישיון,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,שנת_פקיעת_רישיון ; שנת_פקיעת_רישיון_הנהיגה
279,תאריך ושעה,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,תאריך_ושעה ; תאריך_ושעה_בתיק_המצורף
454,תאריך יציאה מהארץ,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,תאריך_יציאה_מהארץ
651,תאריך כתב האישום,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,תאריך_כתב_האישום
212,תאריכי ביצוע העבירות,2,2,Hybrid-Full|GPT-Free,0,1,0,1,תאריכי_ביצוע_העבירות ; תאריכי_העבירות
720,תמורה_כספית_בכל_העסקאות_בשקלים,2,2,GPT-Law|GPT-Free,0,0,1,1,תמורה_כספית_בכל_העסקאות_בשקלים ; תמורה_כספית_בעסקאות
263,תמורה_מוצעת_עבור_הנשק_שקלים,2,2,GPT-Law|GPT-Free,0,0,1,1,תמורה_מוצעת_עבור_הנשק_שקלים ; תמורה_מוצעת_עבור_נשק
908,תמורה_שהובטחה_לנאשם,1,2,GPT-Law|GPT-Free,0,0,1,1,תמורה_שהובטחה_לנאשם
614,תפקיד הסוכן,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,תפקיד_הסוכן
